Cost,RiskAdjustedCost,Frequency,Minor,Major,PCPID,ServiceProviderID,InNetwork
608.00,3040.00,2,Abortion (termination of pregnancy),Female Genital Organs,32175,11319,-1
84.00,211.00,2,Ancillary Services,Unspecified and ancillary services,388,31418,-1
157.00,93.00,2,Ancillary Services,Unspecified and ancillary services,2295,3680,1
196.00,354.00,9,Ancillary Services,Unspecified and ancillary services,2457,2828,-1
118.00,25.00,2,Ancillary Services,Unspecified and ancillary services,3189,2828,-1
126.00,180.00,2,Ancillary Services,Unspecified and ancillary services,3904,13684,-1
165.00,275.00,2,Ancillary Services,Unspecified and ancillary services,3950,3680,1
2245.00,2245.00,11,Ancillary Services,Unspecified and ancillary services,4301,3477,-1
84.00,76.00,2,Ancillary Services,Unspecified and ancillary services,5189,13684,-1
161.00,230.00,4,Ancillary Services,Unspecified and ancillary services,31700,2828,-1
1487.00,7435.00,7,Ancillary Services,Unspecified and ancillary services,31700,3477,-1
180.00,139.00,6,Ancillary Services,Unspecified and ancillary services,31960,2828,-1
91.00,76.00,2,Ancillary Services,Unspecified and ancillary services,32065,3680,1
702.00,1996.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",68,3257,-1
686.00,833.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",68,15033,-1
471.00,1749.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,3536,-1
1715.00,1350.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,19382,-1
254.00,669.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",85,31448,-1
664.00,3320.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",180,3216,-1
140.00,280.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",180,28506,-1
548.00,2380.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",209,3216,-1
315.00,1367.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",209,3482,-1
576.00,2880.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",210,3536,-1
664.00,1962.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,3536,-1
0.00,0.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,12574,-1
298.00,298.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,19826,-1
564.00,1067.00,5,Anesthesia,"Anesthesia, labs, and medication supplies",242,31448,-1
815.00,4075.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",388,3991,-1
605.00,4923.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,4376,1
774.00,5185.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",388,11358,-1
895.00,4888.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",388,18678,-1
553.00,5530.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",404,18678,-1
466.00,1744.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",508,3257,-1
568.00,672.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,18895,-1
1059.00,491.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,19268,-1
1267.00,704.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,25508,-1
435.00,1588.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",658,4376,1
21.00,26.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,12582,-1
85.00,73.00,20,Anesthesia,"Anesthesia, labs, and medication supplies",658,26470,-1
286.00,2860.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",674,18678,-1
819.00,3837.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",710,3846,-1
